µçÑ¹/V,µçÁ÷/A
0.001384263,-1.6651E-06
0.012150769,3.7639E-06
0.021738364,-1.0623E-06
0.031082229,0.000004025
0.041876553,-3.9403E-06
0.051305193,-3.7489E-06
0.061902148,9.2166E-06
0.071741421,-1.17567E-05
0.080930305,-3.2431E-06
0.091904777,-5.0797E-06
0.101345339,0.00000095
0.112102573,0.000000806
0.121401401,-0.000002205
0.130754538,4.6082E-06
0.141710465,9.9323E-06
0.151180169,-1.0134E-06
0.161706919,1.48602E-05
0.171478636,8.4692E-06
0.180537708,1.11268E-05
0.191638018,7.1862E-06
0.201048114,-1.88911E-05
0.211854359,1.5339E-06
0.221485667,-2.3573E-06
0.23210514,1.03462E-05
0.241635776,0.000001532
0.250920033,0.000008733
0.261861389,1.67081E-05
0.271213202,1.47658E-05
0.282002227,2.17899E-05
0.291514319,9.5239E-06
0.301096615,1.29216E-05
0.312174407,5.6613E-06
0.321509,-2.2531E-06
0.332340412,-1.5903E-06
0.341896216,1.32121E-05
0.351483811,-1.5634E-06
0.362284758,1.07688E-05
0.371681607,1.32107E-05
0.382425595,1.25342E-05
0.391936362,1.16764E-05
0.401541177,2.35675E-05
0.412340799,3.53689E-05
0.421682015,2.17512E-05
0.43236507,4.09641E-05
0.442102347,0.000039609
0.451328321,4.97199E-05
0.462154435,5.56883E-05
0.471490352,7.19175E-05
0.482108501,8.51514E-05
0.491085446,0.000102124
0.500526009,0.000114256
0.511092497,0.000143667
0.520136998,0.00017219
0.53067567,0.000228128
0.539630097,0.000259689
0.548252044,0.000332325
0.558613217,0.000398186
0.567510685,0.000463301
0.57704662,0.000573746
0.585601012,0.000673964
0.594021617,0.000785174
0.603288655,0.000935376
0.611053573,0.001108971
0.619825203,0.001287887
0.627464283,0.001500596
0.646775908,0.002127981
0.65547071,0.002466073
0.663689973,0.002858485
0.671612522,0.003285742
0.680876909,0.003844128
0.688815353,0.00438335
