VDD/V,VGS=VDS/V,VDD-VDS,RD=10 Ohm
2.003171921,1.999645233,0.002252579,
2.001247406,2.003171921,0.002252579,
2.101005554,2.099721909,0.005138397,
2.1022892,2.097797394,0.005138397,
2.202365875,2.192102432,0.011875153,
2.202365875,2.192102432,0.011875153,
2.299236298,2.274217606,0.025026321,
2.29955864,2.278066635,0.02406311,
2.39931488,2.353124619,0.042987823,
2.397390366,2.354408264,0.043310165,
2.503562927,2.433637619,0.070894241,
2.505167007,2.430109024,0.070894241,
2.603000641,2.496505737,0.105537415,
2.601076126,2.497468948,0.105537415,
2.699871063,2.555526733,0.146915436,
2.697946548,2.556167603,0.146915436,
2.801551819,2.609735489,0.189577103,
2.797702789,2.608131409,0.190860748,
2.895856857,2.657209396,0.239616394,
2.900026321,2.655925751,0.239936829,
2.997859955,2.704681396,0.295749664,
3.000104904,2.705001831,0.295749664,
3.09954071,2.74638176,0.353487015,
3.099863052,2.747343063,0.35316658,
3.197053909,2.78519249,0.411224365,
3.195770264,2.787118912,0.411224365,
3.291679382,2.822723389,0.473453522,
3.293281555,2.821119308,0.473453522,
3.395284653,2.859931946,0.537284851,
3.395605087,2.858968735,0.537605286,
3.496004105,2.892648697,0.604644775,
3.496324539,2.893611908,0.604644775,
3.595121384,2.924724579,0.671363831,
3.593837738,2.925046921,0.671363831,
3.692312241,2.958726883,0.737119675,
3.693916321,2.958084106,0.737119675,
3.793992996,2.989198685,0.804801941,
3.794635773,2.988237381,0.804481506,
3.894392014,3.019029617,0.874406815,
3.895355225,3.019029617,0.875047684,
3.989337921,3.048219681,0.942409515,
3.992225647,3.04886055,0.942087173,
4.188211441,3.109165192,1.080337524,
4.189495087,3.10884285,1.080337524,
4.391254425,3.167543411,1.223075867,
4.387084961,3.167863846,1.223075867,
4.58820343,3.223035812,1.367099762,
4.590768814,3.222393036,1.366779327,
4.788360596,3.278526306,1.509197235,
4.787397385,3.279169083,1.50951767,
4.98755455,3.335622787,1.65161705,
4.98755455,3.335943222,1.651937485,
5.484415054,3.477079391,2.006700516,
5.48409462,3.476118088,2.006700516,
5.982561111,3.621103287,2.362426758,
5.9815979,3.620780945,2.362426758,
6.477499008,3.767049789,2.710454941,
6.475574493,3.768333435,2.710134506,
6.975643158,3.922618866,3.053672791,
6.976285934,3.923261642,3.053352356,
7.474752426,4.083963394,3.389511108,
7.472827911,4.083322525,3.390474319,
7.972896576,4.253967285,3.718294144,
7.969047546,4.254930496,3.718294144,
