VDD/V,VDS/V,VDD-VDS,หตร๗
0,0,0,VGS=2.2V
0.038818359,0.016365051,0.022781372,RD=115 Ohm
0.080518723,0.037857056,0.043310165,
0.123180389,0.066083908,0.059026718,
0.168087006,0.099443436,0.070894241,
0.212993622,0.136972427,0.077310562,
0.263032913,0.182199478,0.082122803,
0.313072205,0.22838974,0.08564949,
0.359903336,0.270730972,0.088216782,
0.408338547,0.320127487,0.08949852,
0.459980011,0.368242264,0.090782166,
0.509057999,0.41635704,0.092386246,
0.560058594,0.469924927,0.093669891,
0.607852936,0.520284653,0.09270668,
0.659816742,0.565832138,0.094631195,
0.706007004,0.616191864,0.095914841,
0.757328033,0.663345337,0.09270668,
0.808008194,0.715950012,0.095594406,
0.858690262,0.761177063,0.096235275,
0.907445908,0.813461304,0.093349457,
0.957164764,0.860294342,0.096235275,
1.007202148,0.912256241,0.093990326,
1.058204651,0.962295532,0.097518921,
1.107601166,1.01137352,0.095914841,
1.158283234,1.063014984,0.097198486,
1.205755234,1.110168457,0.096876144,
1.256435394,1.158283234,0.097518921,
1.307437897,1.208963394,0.097198486,
1.354909897,1.258682251,0.097839355,
1.406873703,1.312568665,0.09976387,
1.455629349,1.362930298,0.10136795,
1.506952286,1.407194138,0.099123001,
1.556991577,1.463006973,0.098480225,
1.606388092,1.506311417,0.094631195,
1.658031464,1.554103851,0.100404739,
1.704862595,1.607671738,0.097839355,
1.755542755,1.658672333,0.099123001,
1.808149338,1.709354401,0.097518921,
1.856584549,1.760034561,0.098800659,
1.90662384,1.807186127,0.100084305,
1.956020355,1.856904984,0.09815979,
2.007984161,1.91047287,0.09815979,
2.058023453,1.959869385,0.098480225,
2.105495453,2.010871887,0.097198486,
2.157459259,2.059627533,0.096876144,
2.20589447,2.110307693,0.097839355,
2.256576538,2.159063339,0.097198486,
2.306613922,2.206857681,0.100404739,
2.355049133,2.255933762,0.100084305,
2.405408859,2.308538437,0.099443436,
2.456731796,2.360181808,0.100725174,
2.507091522,2.406692505,0.09976387,
2.557451248,2.46090126,0.098480225,
2.606529236,2.506130219,0.098800659,
2.655284882,2.556489944,0.098480225,
2.705324173,2.603961945,0.100404739,
2.755683899,2.658813477,0.10200882,
2.806043625,2.706285477,0.101047516,
2.856082916,2.756965637,0.100404739,
2.906442642,2.807325363,0.099443436,
2.956159592,2.856403351,0.100084305,
3.005237579,2.907083511,0.10200882,
3.056238174,2.956802368,0.09815979,
3.105314255,3.005558014,0.099123001,
3.155353546,3.052389145,0.09976387,
3.203788757,3.106277466,0.09815979,
3.255111694,3.156637192,0.102651596,
3.306112289,3.206676483,0.100404739,
3.356472015,3.256072998,0.10200882,
3.405229568,3.305791855,0.100725174,
3.453342438,3.351341248,0.102329254,
3.50594902,3.409078598,0.100725174,
3.55566597,3.457513809,0.101688385,
3.604423523,3.50434494,0.101688385,
3.655424118,3.552137375,0.101688385,
3.704500198,3.605705261,0.101047516,
3.755182266,3.652858734,0.103933334,
3.805541992,3.70321846,0.100725174,
3.854618073,3.755823135,0.10136795,
3.905298233,3.798164368,0.107141495,
3.952451706,3.849485397,0.106500626,
4.00409317,3.899524689,0.104576111,
4.054773331,3.952451706,0.105537415,
4.102888107,4.001848221,0.102972031,
4.154531479,4.055736542,0.10521698,
4.203929901,4.101606369,0.104253769,
4.254930496,4.151002884,0.10200882,
4.304328918,4.205211639,0.104253769,
4.353404999,4.248516083,0.106178284,
4.403764725,4.297592163,0.1036129,
4.453804016,4.349876404,0.10521698,
4.504484177,4.399595261,0.105537415,
4.554843903,4.448030472,0.105857849,
4.603919983,4.495822906,0.108102798,
4.653959274,4.547466278,0.10682106,
4.702074051,4.598146439,0.107141495,
4.754037857,4.64978981,0.106178284,
4.805360794,4.700790405,0.10521698,
4.852191925,4.746980667,0.10842514,
4.90319252,4.798303604,0.109386444,
4.950986862,4.84545517,0.108102798,
5.002307892,4.891645432,0.10842514,
5.053310394,4.946174622,0.107782364,
5.101745605,4.994609833,0.10842514,
5.153388977,5.041763306,0.107461929,
5.201501846,5.093727112,0.109386444,
5.253465652,5.144086838,0.108102798,
5.305109024,5.196050644,0.111310959,
5.350978851,5.243202209,0.106500626,
5.404546738,5.298372269,0.107461929,
5.453943253,5.345846176,0.106178284,
5.500774384,5.393960953,0.105537415,
5.552417755,5.444961548,0.107461929,
5.602457047,5.501737595,0.107461929,
5.653137207,5.548248291,0.10682106,
5.702535629,5.597003937,0.108102798,
5.753856659,5.646400452,0.107461929,
5.803575516,5.694194794,0.11067009,
5.852331161,5.740385056,0.110990524,
5.900125504,5.79523468,0.109386444,
5.950805664,5.838216782,0.110027313,
6.00116539,5.888898849,0.10906601,
6.051845551,5.945993423,0.11227417,
6.101564407,5.993467331,0.112915039,
6.151283264,6.037090302,0.111953735,
6.201322556,6.089054108,0.111953735,
6.251682281,6.141658783,0.111310959,
6.302042007,6.189453125,0.111310959,
6.350477219,6.241096497,0.110349655,
6.401157379,6.291456223,0.109706879,
6.451517105,6.338607788,0.114519119,
6.500272751,6.3950634,0.112594604,
6.551595688,6.43932724,0.11067009,
6.601634979,6.488405228,0.10842514,
6.649427414,6.541330338,0.11227417,
6.69818306,6.586236954,0.112915039,
6.750789642,6.635955811,0.11227417,
6.802110672,6.687278748,0.113555908,
6.848621368,6.738599777,0.112915039,
6.900585175,6.787355423,0.11227417,
6.949661255,6.838998795,0.111953735,
6.999700546,6.889678955,0.11227417,
7.049098969,6.938756943,0.110990524,
7.098817825,6.988473892,0.111953735,
7.151422501,7.042362213,0.10906601,
7.198574066,7.084703445,0.114839554,
7.249576569,7.134422302,0.113555908,
7.300577164,7.190876007,0.111953735,
7.350296021,7.23482132,0.111310959,
7.399692535,7.286462784,0.112594604,
7.450052261,7.336502075,0.112915039,
7.500091553,7.389749527,0.11067009,
7.55141449,7.438505173,0.113555908,
7.599206924,7.488864899,0.115159988,
7.649888992,7.541469574,0.116443634,
7.697360992,7.584131241,0.11227417,
7.749965668,7.636415482,0.114839554,
7.799684525,7.684209824,0.116123199,
7.849723816,7.728155136,0.117084503,
7.897838593,7.783967972,0.112594604,
